rank,filename,subtype,split_assignment,review_priority,hard_reasons,soft_reasons,soft_count,baseline_noise_ratio,param_sensitivity,topk_spread,peak_over_baseline,topk_count,walk_baseline_contamination,topk_cand_frames_clean,rise_frame_original,exclude_candidate,recommendation
81,E4_S01_A_FALL_WALK_B_T007.csv,FALL_WALK_B,train,high,topk_no_consensus_hard,topk_spread_high,1,1.07154,9.0,139,1.785,64,False,111|110|249,200,False,"auto rise frame 200.0(clean 100) but weak (soft: topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
82,E4_S01_A_FALL_WALK_F_T007.csv,FALL_WALK_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,topk_spread_high,1,1.0703,0.0,39,2.594,54,False,186|185|224,193,False,auto rise(frame 193.0) in beep/early; strongest in-window candidate frame 286(clean 186). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
83,E3_S03_A_FALL_STD_B_T007.csv,FALL_STD_B,train,high,topk_no_consensus_hard,rise_strength_low;confidence_ref_low;topk_spread_high,3,1.06855,0.0,100,1.33,13,False,136|235|135,202,False,"auto rise frame 202.0(clean 102) but weak (soft: rise_strength_low,confidence_ref_low,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
84,E3_S03_A_FALL_STD_F_T002.csv,FALL_STD_F,val,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.06528,0.0,2,4.452,75,False,159|160|158,195,False,auto rise(frame 195.0) in beep/early; strongest in-window candidate frame 259(clean 159). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
85,E3_S03_A_FALL_SIT_B_T003.csv,FALL_SIT_B,train,high,rise_not_found,,0,1.06526,0.0,,1.227,0,False,,,False,"weak transient (search max 1.23x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
86,E4_S02_A_FALL_SIT_B_T007.csv,FALL_SIT_B,train,high,rise_not_found,param_sensitivity_high,1,1.05583,58.0,,1.245,0,False,,,False,"weak transient (search max 1.25x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
87,E4_S03_A_FALL_STD_F_T004.csv,FALL_STD_F,train,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.05244,1.0,2,2.062,93,False,172|171|173,198,False,auto rise(frame 198.0) in beep/early; strongest in-window candidate frame 272(clean 172). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
88,E4_S02_A_FALL_WALK_B_T002.csv,FALL_WALK_B,train,high,,baseline_noise_high;baseline_mad_high,2,1.70103,0.0,1,2.487,2,True,186|185,285,False,"auto rise frame 285.0(clean 185) but weak (soft: baseline_noise_high,baseline_mad_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
89,E2_S02_A_FALL_WALK_B_T004.csv,FALL_WALK_B,train,high,,baseline_noise_high;topk_spread_high,2,1.33524,0.0,31,1.694,6,True,141|140|171,238,False,"auto rise frame 238.0(clean 138) but weak (soft: baseline_noise_high,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
90,E4_S02_A_FALL_WALK_B_T003.csv,FALL_WALK_B,train,high,,baseline_mad_high;topk_spread_high,2,1.2016,27.0,45,1.479,5,False,177|176|132,213,False,"auto rise frame 213.0(clean 113) but weak (soft: baseline_mad_high,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
91,E4_S01_A_FALL_WALK_B_T008.csv,FALL_WALK_B,train,high,,rise_slope_low;confidence_ref_low;topk_spread_high,3,1.10905,42.0,31,2.185,45,False,249|219|218,262,False,"auto rise frame 262.0(clean 162) but weak (soft: rise_slope_low,confidence_ref_low,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
92,E3_S03_A_FALL_WALK_B_T007.csv,FALL_WALK_B,train,high,,confidence_ref_low;topk_spread_high,2,1.09686,0.0,77,1.182,2,False,127|204,227,False,"auto rise frame 227.0(clean 127) but weak (soft: confidence_ref_low,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
93,E3_S03_A_FALL_SIT_B_T002.csv,FALL_SIT_B,train,high,,rise_slope_low;confidence_ref_low,2,1.08518,43.0,2,1.235,5,False,191|189|190,275,False,"auto rise frame 275.0(clean 175) but weak (soft: rise_slope_low,confidence_ref_low). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
94,E4_S03_A_FALL_SIT_F_T002.csv,FALL_SIT_F,train,high,,rise_strength_low;confidence_ref_low,2,1.08006,26.0,2,2.975,75,False,241|242|240,212,False,"auto rise frame 212.0(clean 112) but weak (soft: rise_strength_low,confidence_ref_low). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
95,E3_S03_A_FALL_SIT_F_T006.csv,FALL_SIT_F,train,high,,rise_slope_low;param_sensitivity_high,2,1.07793,78.0,2,1.833,12,False,177|176|178,265,False,"auto rise frame 265.0(clean 165) but weak (soft: rise_slope_low,param_sensitivity_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
96,E3_S03_A_FALL_STD_B_T008.csv,FALL_STD_B,val,high,,rise_strength_low;confidence_ref_low;topk_spread_high,3,1.07318,37.0,59,1.303,30,False,202|201|143,233,False,"auto rise frame 233.0(clean 133) but weak (soft: rise_strength_low,confidence_ref_low,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
97,E1_S01_A_FALL_WALK_F_T005.csv,FALL_WALK_F,train,high,,rise_strength_low;rise_slope_low;param_sensitivity_high,3,1.06209,61.0,2,1.808,17,False,157|158|159,250,False,"auto rise frame 250.0(clean 150) but weak (soft: rise_strength_low,rise_slope_low,param_sensitivity_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
98,E3_S03_A_FALL_WALK_F_T001.csv,FALL_WALK_F,train,high,,rise_strength_low;param_sensitivity_high,2,1.05866,86.0,2,1.24,5,False,196|195|194,292,False,"auto rise frame 292.0(clean 192) but weak (soft: rise_strength_low,param_sensitivity_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
99,E4_S01_A_FALL_WALK_B_T006.csv,FALL_WALK_B,test,high,rise_not_found,baseline_noise_high;baseline_mad_high,2,1.55435,,,1.18,0,True,,,False,"weak transient (search max 1.18x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
100,E2_S02_A_FALL_WALK_B_T007.csv,FALL_WALK_B,test,high,rise_not_found,baseline_noise_high,1,1.20687,,,1.197,0,True,,,False,"weak transient (search max 1.20x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
101,E2_S02_A_FALL_WALK_B_T006.csv,FALL_WALK_B,test,high,rise_not_found,,0,1.13042,0.0,,1.253,0,False,,,False,"weak transient (search max 1.25x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
102,E2_S02_A_FALL_WALK_F_T003.csv,FALL_WALK_F,test,high,rise_not_found,baseline_mad_high,1,1.12875,,,1.226,0,False,,,False,"weak transient (search max 1.23x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
103,E4_S03_A_FALL_WALK_F_T005.csv,FALL_WALK_F,test,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.12515,1.0,2,2.824,66,False,147|146|148,198,False,auto rise(frame 198.0) in beep/early; strongest in-window candidate frame 247(clean 147). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
104,E4_S02_A_FALL_SIT_B_T006.csv,FALL_SIT_B,test,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.11356,0.0,2,3.759,131,False,164|165|166,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 264(clean 164). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
105,E4_S01_A_FALL_STD_B_T010.csv,FALL_STD_B,test,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.10587,15.0,3,1.887,31,False,211|212|209,199,False,auto rise(frame 199.0) in beep/early; strongest in-window candidate frame 311(clean 211). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
106,E3_S03_A_FALL_WALK_F_T006.csv,FALL_WALK_F,test,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.09886,1.0,2,1.357,5,False,100|101|None,197,False,auto rise(frame 197.0) in beep/early; strongest in-window candidate frame 200(clean 100). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
107,E2_S02_A_FALL_SIT_B_T010.csv,FALL_SIT_B,test,high,rise_not_found,,0,1.09876,,,1.197,0,False,,,False,"weak transient (search max 1.20x baseline, no sustained-5). manual confirm onset. Recommendation only. Final onset decision must be approved by Jinkyu."
108,E4_S03_A_FALL_WALK_F_T009.csv,FALL_WALK_F,test,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,topk_spread_high,1,1.09417,0.0,59,1.539,18,False,113|171|112,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 213(clean 113). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
109,E4_S02_A_FALL_SIT_F_T008.csv,FALL_SIT_F,test,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.08391,0.0,2,2.335,104,False,199|198|200,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 299(clean 199). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
110,E4_S01_A_FALL_SIT_B_T010.csv,FALL_SIT_B,test,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low;topk_spread_high,2,1.08296,0.0,21,1.774,43,False,161|182|181,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 261(clean 161). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
111,E4_S01_A_FALL_SIT_F_T002.csv,FALL_SIT_F,test,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,,0,1.07802,1.0,2,2.676,88,False,156|155|157,194,False,auto rise(frame 194.0) in beep/early; strongest in-window candidate frame 256(clean 156). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
112,E4_S01_A_FALL_STD_B_T005.csv,FALL_STD_B,test,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,1,1.06158,0.0,2,1.783,44,False,127|128|126,190,False,auto rise(frame 190.0) in beep/early; strongest in-window candidate frame 227(clean 127). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
113,E3_S03_A_FALL_STD_F_T007.csv,FALL_STD_F,test,high,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,param_sensitivity_high,1,1.05826,81.0,2,1.324,4,False,176|175|174,193,False,auto rise(frame 193.0) in beep/early; strongest in-window candidate frame 276(clean 176). manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu.
114,E4_S03_A_FALL_WALK_B_T007.csv,FALL_WALK_B,test,high,,rise_slope_low;baseline_noise_high;baseline_mad_high,3,1.4652,13.0,0,1.418,1,True,207,307,False,"auto rise frame 307.0(clean 207) but weak (soft: rise_slope_low,baseline_noise_high,baseline_mad_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
115,E4_S01_A_FALL_STD_F_T003.csv,FALL_STD_F,test,high,,rise_strength_low;confidence_ref_low,2,1.09468,12.0,2,2.219,84,False,225|226|224,203,False,"auto rise frame 203.0(clean 103) but weak (soft: rise_strength_low,confidence_ref_low). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
